frame,fps,num_tracks,counts_json
0,0.05,6,"{""person"": 6}"
1,0.374,6,"{""person"": 6}"
2,1.045,6,"{""person"": 6}"
3,1.735,6,"{""person"": 6}"
4,2.263,6,"{""person"": 6}"
5,3.011,8,"{""person"": 8}"
6,3.633,8,"{""person"": 8}"
7,4.196,8,"{""person"": 8}"
8,4.721,8,"{""person"": 8}"
9,5.263,9,"{""person"": 9}"
10,5.558,8,"{""person"": 8}"
11,5.862,9,"{""person"": 8, ""bicycle"": 1}"
12,5.976,10,"{""person"": 9, ""bicycle"": 1}"
13,6.317,10,"{""person"": 9, ""bicycle"": 1}"
14,6.667,10,"{""person"": 9, ""bicycle"": 1}"
15,6.919,11,"{""person"": 10, ""bicycle"": 1}"
16,7.249,11,"{""person"": 10, ""bicycle"": 1}"
17,7.496,11,"{""person"": 10, ""bicycle"": 1}"
18,7.683,12,"{""person"": 11, ""bicycle"": 1}"
19,7.809,12,"{""person"": 10, ""bicycle"": 1, ""fire hydrant"": 1}"
20,7.981,13,"{""person"": 12, ""bicycle"": 1}"
21,8.0,13,"{""person"": 12, ""bicycle"": 1}"
22,7.862,13,"{""person"": 12, ""bicycle"": 1}"
23,8.076,12,"{""person"": 11, ""bicycle"": 1}"
24,7.991,12,"{""person"": 11, ""bicycle"": 1}"
25,8.251,12,"{""person"": 11, ""bicycle"": 1}"
26,8.373,12,"{""person"": 11, ""bicycle"": 1}"
27,8.52,13,"{""person"": 12, ""bicycle"": 1}"
28,8.638,13,"{""person"": 12, ""bicycle"": 1}"
29,8.574,12,"{""person"": 11, ""bicycle"": 1}"
30,8.694,11,"{""person"": 10, ""bicycle"": 1}"
31,8.838,11,"{""person"": 10, ""motorcycle"": 1}"
32,8.841,12,"{""person"": 11, ""bicycle"": 1}"
33,8.916,13,"{""person"": 12, ""bicycle"": 1}"
34,8.936,13,"{""person"": 12, ""bicycle"": 1}"
35,8.943,12,"{""person"": 11, ""bicycle"": 1}"
36,8.913,12,"{""person"": 11, ""bicycle"": 1}"
37,9.107,12,"{""person"": 11, ""bicycle"": 1}"
38,9.232,13,"{""person"": 12, ""bicycle"": 1}"
39,9.389,12,"{""person"": 11, ""bicycle"": 1}"
40,9.393,12,"{""person"": 11, ""bicycle"": 1}"
41,9.383,12,"{""person"": 10, ""bicycle"": 2}"
42,9.388,12,"{""person"": 11, ""bicycle"": 1}"
43,9.422,12,"{""person"": 11, ""bicycle"": 1}"
44,9.501,12,"{""person"": 11, ""bicycle"": 1}"
45,9.54,12,"{""person"": 11, ""bicycle"": 1}"
46,9.464,12,"{""person"": 11, ""bicycle"": 1}"
47,9.525,12,"{""person"": 11, ""bicycle"": 1}"
48,9.328,12,"{""person"": 11, ""bicycle"": 1}"
49,9.357,12,"{""person"": 11, ""bicycle"": 1}"
50,9.425,12,"{""person"": 11, ""bicycle"": 1}"
51,9.367,12,"{""person"": 11, ""bicycle"": 1}"
52,9.357,12,"{""person"": 11, ""bicycle"": 1}"
53,9.344,12,"{""person"": 11, ""bicycle"": 1}"
54,9.172,12,"{""person"": 11, ""bicycle"": 1}"
55,8.928,12,"{""person"": 11, ""bicycle"": 1}"
56,8.689,12,"{""person"": 11, ""bicycle"": 1}"
57,8.482,12,"{""person"": 11, ""bicycle"": 1}"
58,8.311,12,"{""person"": 11, ""bicycle"": 1}"
59,8.256,12,"{""person"": 11, ""motorcycle"": 1}"
60,8.081,12,"{""person"": 11, ""motorcycle"": 1}"
61,8.244,12,"{""person"": 11, ""bicycle"": 1}"
