frame,id,cls_id,cls_name,conf,x1,y1,x2,y2,fps,video_width,video_height
0,1,2,car,0.864820659160614,779.761474609375,553.4998779296875,1068.429443359375,790.788330078125,0.044,1920,1080
0,2,2,car,0.861085057258606,833.415283203125,851.732666015625,1225.385498046875,1074.5028076171875,0.044,1920,1080
0,3,2,car,0.857804536819458,1203.46484375,453.0592041015625,1496.1256103515625,676.00439453125,0.044,1920,1080
0,4,2,car,0.8060760498046875,631.6727905273438,396.8446044921875,875.81005859375,592.1484375,0.044,1920,1080
0,5,2,car,0.7011536359786987,288.609375,291.17193603515625,399.49749755859375,362.71197509765625,0.044,1920,1080
1,1,2,car,0.8431152701377869,781.4525756835938,558.7229614257812,1074.2821044921875,799.4261474609375,0.375,1920,1080
1,2,2,car,0.8500972390174866,850.0225219726562,862.0775756835938,1220.1636962890625,1072.2071533203125,0.375,1920,1080
1,3,2,car,0.8388686776161194,1210.06396484375,458.0146484375,1499.562255859375,678.507080078125,0.375,1920,1080
1,4,2,car,0.8004547953605652,636.264404296875,398.6988830566406,879.8876953125,593.5436401367188,0.375,1920,1080
1,5,2,car,0.6804812550544739,286.97540283203125,288.0558776855469,403.2420959472656,363.119140625,0.375,1920,1080
2,1,2,car,0.8620948791503906,788.7745971679688,565.2423095703125,1080.405517578125,804.8745727539062,0.972,1920,1080
2,2,2,car,0.8594125509262085,861.4193725585938,872.6504516601562,1214.583251953125,1072.456298828125,0.972,1920,1080
2,3,2,car,0.8339695930480957,1214.2069091796875,461.6386413574219,1508.05615234375,685.4905395507812,0.972,1920,1080
2,4,2,car,0.836396336555481,640.4459228515625,401.2844543457031,885.786865234375,597.3699340820312,0.972,1920,1080
2,5,2,car,0.7444421648979187,287.1942443847656,286.2156982421875,405.7442932128906,362.8650207519531,0.972,1920,1080
2,6,5,bus,0.8272296190261841,908.1018676757812,290.45806884765625,1116.5692138671875,467.04644775390625,0.972,1920,1080
3,1,2,car,0.8194793462753296,792.57275390625,569.9091186523438,1086.967529296875,811.8309326171875,1.623,1920,1080
3,2,2,car,0.860522449016571,866.9913940429688,879.2325439453125,1209.9931640625,1072.2139892578125,1.623,1920,1080
3,3,2,car,0.8776522278785706,1218.2144775390625,465.113037109375,1514.577880859375,690.95751953125,1.623,1920,1080
3,4,2,car,0.8367206454277039,643.0391845703125,404.16607666015625,889.7842407226562,601.1226806640625,1.623,1920,1080
3,5,2,car,0.7556486129760742,287.68206787109375,285.69927978515625,405.96673583984375,362.3254089355469,1.623,1920,1080
3,6,5,bus,0.7485169768333435,910.4741821289062,292.1716003417969,1118.8233642578125,468.672607421875,1.623,1920,1080
4,1,2,car,0.8550159931182861,795.4368286132812,574.8009643554688,1093.48876953125,819.8805541992188,2.237,1920,1080
4,2,2,car,0.8878023028373718,879.0431518554688,890.357666015625,1204.15576171875,1071.563720703125,2.237,1920,1080
